Date,Open,High,Low,Close,Volume,VWAP,Transactions,Ticker
2023-08-31,137.05,138.4,136.82,137.35,28147850.0,137.7219,274470,GOOG
2023-09-01,138.43,138.58,135.94,136.8,16671647.0,136.8128,207752,GOOG
2023-09-05,136.44,137.37,135.56,136.71,17730218.0,136.5011,216597,GOOG
2023-09-06,137.015,137.48,134.69,135.37,15814327.0,135.6799,195632,GOOG
2023-09-07,134.6,136.58,133.9601,136.2,16867956.0,135.7688,207158,GOOG
2023-09-08,135.87,137.515,135.87,137.2,17820005.0,136.9627,207466,GOOG
2023-09-11,137.38,138.2638,136.55,137.74,17145755.0,137.517,188818,GOOG
2023-09-12,137.13,137.64,135.93,136.07,15212934.0,136.5448,192777,GOOG
2023-09-13,135.9,137.7,134.93,137.5,16394915.0,136.6791,210260,GOOG
2023-09-14,138.39,139.55,137.06,138.99,19064607.0,138.723,206522,GOOG
2023-09-15,138.8,139.36,137.18,138.3,48958837.0,138.2444,266140,GOOG
2023-09-18,137.63,139.93,137.63,138.96,16233590.0,139.1326,195812,GOOG
2023-09-19,138.25,139.175,137.5,138.83,15484644.0,138.5037,172974,GOOG
2023-09-20,138.83,138.84,134.52,134.59,21473533.0,136.1771,230482,GOOG
2023-09-21,132.39,133.19,131.09,131.36,22058375.0,131.9425,261970,GOOG
2023-09-22,131.68,133.01,130.51,131.25,17355284.0,131.8237,193334,GOOG
2023-09-25,130.77,132.22,130.03,132.17,14650032.0,131.5913,177785,GOOG
2023-09-26,130.914,131.405,128.19,129.45,20374469.0,129.2317,232737,GOOG
2023-09-27,129.44,131.72,129.38,131.46,18764201.0,130.6948,205892,GOOG
2023-09-28,130.69,134.1799,130.69,133.13,18201389.0,132.7377,213567,GOOG
2023-09-29,134.08,134.89,131.32,131.85,23237336.0,132.5801,231542,GOOG
2023-10-02,132.155,135.36,132.065,135.17,19210394.0,134.3212,231589,GOOG
2023-10-03,134.93,135.24,132.815,133.3,19628736.0,133.5837,226649,GOOG
2023-10-04,133.66,136.57,133.43,136.27,22847987.0,135.5046,259108,GOOG
2023-10-05,136.13,136.5,134.455,135.99,15912704.0,135.753,184536,GOOG
2023-10-06,134.94,139.1857,134.94,138.73,20824883.0,137.9547,233145,GOOG
2023-10-09,137.99,139.97,136.7,139.5,16599099.0,138.858,174651,GOOG
2023-10-10,139.51,140.74,138.43,139.2,19554916.0,139.6351,217095,GOOG
2023-10-11,139.85,142.22,139.84,141.7,20146341.0,141.3665,207111,GOOG
2023-10-12,142.16,142.38,139.45,140.29,18173107.0,140.9779,202907,GOOG
2023-10-13,140.65,141.34,137.97,138.58,19447565.0,139.0809,215716,GOOG
2023-10-16,139.73,140.905,139.32,140.49,17345556.0,140.2975,193266,GOOG
2023-10-17,140.03,141.25,138.5287,140.99,17424024.0,140.4298,198780,GOOG
2023-10-18,140.75,141.99,138.705,139.28,18304869.0,140.3154,217938,GOOG
2023-10-19,139.8,141.005,138.6,138.98,21831181.0,139.6785,268880,GOOG
2023-10-20,138.59,139.04,136.245,136.74,24970263.0,137.2998,247090,GOOG
2023-10-23,136.23,139.02,135.11,137.9,20740665.0,137.7627,230248,GOOG
2023-10-24,139.16,140.7099,138.75,140.12,26315198.0,139.007,304931,GOOG
2023-10-25,129.77,130.1,126.09,126.67,58796067.0,127.5346,717207,GOOG
2023-10-26,124.47,125.46,122.32,123.44,33907363.0,123.6603,376878,GOOG
2023-10-27,124.03,124.44,121.46,123.4,37277673.0,123.0081,351894,GOOG
2023-10-30,124.46,126.55,123.88,125.75,24165658.0,125.6564,263519,GOOG
2023-10-31,126.27,126.56,123.925,125.3,21123418.0,125.0398,234049,GOOG
2023-11-01,125.34,127.74,124.925,127.57,26536604.0,126.7511,268075,GOOG
2023-11-02,129.56,130.09,128.11,128.58,24091672.0,128.7671,235159,GOOG
2023-11-03,129.09,130.73,129.01,130.37,19529448.0,130.1117,218705,GOOG
2023-11-06,130.22,131.56,129.93,131.45,15260362.0,130.9959,165624,GOOG
2023-11-07,131.98,133.28,131.14,132.4,19223786.0,132.4604,190771,GOOG
2023-11-08,132.36,133.54,132.16,133.26,15093598.0,132.908,163963,GOOG
2023-11-09,133.36,133.96,131.51,131.69,17776533.0,132.4159,186512,GOOG
2023-11-10,131.53,134.27,130.87,134.06,20879838.0,133.1589,198944,GOOG
2023-11-13,133.36,134.11,132.77,133.64,16409856.0,133.626,159519,GOOG
2023-11-14,135.65,137.24,135.1,135.43,22317345.0,135.9191,238701,GOOG
2023-11-15,136.64,136.84,135.33,136.38,15840883.0,136.106,175172,GOOG
2023-11-16,136.96,138.8799,136.08,138.7,17615068.0,138.1613,204772,GOOG
2023-11-17,137.82,138.0,135.48,136.94,25531191.0,136.6774,276268,GOOG
2023-11-20,135.5,138.425,135.49,137.92,19589006.0,137.5696,212277,GOOG
2023-11-21,137.94,138.965,137.705,138.62,17648067.0,138.3522,180103,GOOG
2023-11-22,139.1,141.1,139.0,140.02,17310209.0,140.0762,189637,GOOG
2023-11-24,139.54,139.677,137.47,138.22,8736640.0,138.2847,98746,GOOG
2023-11-27,137.57,139.63,137.54,138.05,17886389.0,138.2066,188060,GOOG
2023-11-28,137.63,138.66,137.04,138.62,16686868.0,138.1079,162207,GOOG
2023-11-29,138.985,139.67,136.295,136.4,21014715.0,137.1758,215955,GOOG
2023-11-30,136.4,136.96,132.79,133.92,29913531.0,133.982,271027,GOOG
2023-12-01,133.32,133.5,132.1517,133.32,24267987.0,132.9458,247527,GOOG
2023-12-04,131.294,131.45,129.4,130.63,24117083.0,130.2939,265246,GOOG
2023-12-05,130.37,133.54,129.73,132.39,19225545.0,132.1493,226584,GOOG
2023-12-06,132.9,133.31,131.31,131.43,16360648.0,132.0844,184622,GOOG
2023-12-07,136.6,140.0,136.23,138.45,38419426.0,138.4452,371920,GOOG
2023-12-08,135.66,137.99,135.57,136.64,23016139.0,136.6293,250188,GOOG
2023-12-11,133.82,134.79,132.89,134.7,24502860.0,134.1482,249375,GOOG
2023-12-12,133.27,134.54,132.83,133.64,26583981.0,133.6619,243926,GOOG
